Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
172100 Palmas,1,-,-,1,22,38,18,10,2,1,-,-,3,96
171570 Palmeirante,-,-,-,-,-,1,-,1,-,-,-,-,-,2
171380 Palmeiras do Tocantins,-,-,-,-,-,-,-,1,-,-,-,-,-,1
171610 Paraíso do Tocantins,-,-,-,-,1,4,3,1,1,1,-,-,-,11
171620 Paranã,-,-,-,-,-,1,-,-,-,-,-,-,-,1
171630 Pau D'Arco,-,-,-,-,-,-,1,-,-,-,-,-,-,1
171650 Pedro Afonso,-,-,-,-,-,-,-,-,-,1,-,-,-,1
171660 Peixe,-,-,-,-,-,1,-,-,-,-,-,-,-,1
171700 Pindorama do Tocantins,-,-,-,-,-,-,1,-,-,-,-,-,-,1
171720 Piraquê,-,-,-,-,-,-,-,1,-,-,-,-,-,1
171750 Pium,-,-,-,-,-,2,-,-,-,-,-,-,-,2
171780 Ponte Alta do Bom Jesus,-,-,-,-,1,1,-,1,1,-,-,-,-,4
171790 Ponte Alta do Tocantins,-,-,-,-,-,1,1,-,-,-,1,-,-,3
171800 Porto Alegre do Tocantins,-,-,-,-,-,-,-,-,1,-,-,-,-,1
171820 Porto Nacional,-,-,-,-,4,18,4,3,-,3,-,1,-,33
171830 Praia Norte,-,-,-,-,-,-,1,-,-,-,-,-,-,1
171850 Recursolândia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
171865 Rio da Conceição,-,-,-,-,-,2,2,-,1,-,-,-,-,5
171880 Sampaio,-,-,-,-,-,2,-,-,-,-,-,-,-,2
171884 Sandolândia,-,-,-,-,1,-,-,-,-,-,-,-,-,1
171890 Santa Rosa do Tocantins,-,-,-,-,-,1,2,-,-,-,-,-,-,3
171900 Santa Tereza do Tocantins,-,-,-,-,-,-,-,-,1,-,-,-,-,1
172020 São Miguel do Tocantins,-,-,-,1,-,-,1,2,1,-,-,-,-,5
172025 São Salvador do Tocantins,-,-,-,-,-,-,-,-,1,-,-,-,-,1
172030 São Sebastião do Tocantins,-,-,-,-,1,-,-,-,-,-,-,-,-,1
172080 Sítio Novo do Tocantins,-,-,-,-,-,1,1,-,-,-,-,-,-,2
172090 Taguatinga,-,-,-,1,1,-,1,-,-,-,-,-,1,4
172110 Tocantínia,-,-,-,-,-,-,-,-,-,-,-,-,1,1
172120 Tocantinópolis,-,-,-,-,2,3,1,1,1,-,-,-,-,8
172208 Wanderlândia,-,-,-,-,-,-,2,1,-,-,1,-,-,4
172210 Xambioá,-,-,-,-,-,2,2,-,-,-,-,-,-,4
210005 Açailândia,-,-,-,-,5,22,15,2,2,1,2,-,1,50
210010 Afonso Cunha,-,-,-,-,-,-,1,-,-,-,-,-,-,1
210015 Água Doce do Maranhão,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210020 Alcântara,-,-,-,-,-,-,1,1,-,-,-,-,-,2
210030 Aldeias Altas,-,-,-,-,-,7,2,1,-,-,-,-,-,10
210040 Altamira do Maranhão,-,-,-,-,-,1,-,-,1,-,-,-,-,2
210043 Alto Alegre do Maranhão,-,-,-,-,1,3,3,-,-,-,-,-,-,7
210047 Alto Alegre do Pindaré,-,-,-,-,-,2,2,2,1,1,-,-,-,8
210055 Amapá do Maranhão,-,-,-,-,-,-,2,-,-,-,-,-,-,2
210060 Amarante do Maranhão,-,-,-,-,2,1,3,1,-,2,1,-,-,10
210070 Anajatuba,-,-,-,-,-,-,1,-,-,-,-,-,-,1
210080 Anapurus,-,-,-,-,1,1,-,-,-,-,-,-,-,2
210083 Apicum-Açu,-,-,-,-,-,-,2,-,-,-,-,-,-,2
210087 Araguanã,-,-,-,-,1,1,-,-,-,-,-,-,-,2
210090 Araioses,-,-,-,-,-,1,1,1,1,-,-,1,-,5
210095 Arame,-,-,-,-,2,3,1,2,1,-,-,-,-,9
210100 Arari,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210120 Bacabal,-,-,-,-,6,13,8,8,-,1,-,-,-,36
210125 Bacabeira,-,-,-,1,-,2,-,-,-,1,-,-,-,4
210130 Bacuri,-,-,-,-,-,3,3,1,-,-,-,-,-,7
210140 Balsas,-,1,-,-,13,21,8,4,1,1,-,-,-,49
210150 Barão de Grajaú,-,-,-,-,2,-,-,1,-,-,-,-,-,3
210160 Barra do Corda,-,-,-,-,2,7,4,3,-,1,1,2,-,20
210170 Barreirinhas,-,-,-,-,1,6,4,1,-,1,-,-,-,13
210173 Belágua,-,-,-,-,-,-,1,-,-,-,-,-,-,1
210190 Bequimão,-,-,-,-,-,1,1,-,-,-,-,-,-,2
210197 Boa Vista do Gurupi,-,-,-,-,-,-,2,1,-,-,-,-,-,3
210200 Bom Jardim,-,-,-,-,1,4,4,-,1,1,-,-,1,12
210203 Bom Jesus das Selvas,-,-,-,-,2,8,6,2,1,-,1,-,-,20
210207 Bom Lugar,-,-,-,-,-,-,-,1,-,-,-,-,-,1
210210 Brejo,-,-,-,-,2,2,2,-,1,-,-,-,-,7
210220 Buriti,-,-,1,-,-,1,-,-,1,-,-,-,-,3
210230 Buriti Bravo,-,-,1,-,-,1,2,1,-,1,1,-,-,7
210232 Buriticupu,-,-,-,1,3,4,11,1,3,-,-,-,1,24
210235 Buritirana,-,-,-,-,-,1,3,-,-,-,-,-,-,4
210240 Cajapió,-,-,-,-,-,1,-,-,1,-,-,-,-,2
210250 Cajari,-,-,-,-,-,-,1,3,-,-,-,-,-,4
210255 Campestre do Maranhão,-,-,-,-,1,1,1,-,1,-,-,-,-,4
210270 Cantanhede,-,-,-,-,1,3,1,1,-,-,-,-,-,6
210275 Capinzal do Norte,-,-,-,-,-,-,-,1,-,-,-,-,-,1
210280 Carolina,-,-,-,-,1,2,-,-,-,-,-,-,-,3
210290 Carutapera,-,-,-,-,1,2,2,-,-,-,-,-,-,5
210300 Caxias,-,-,-,-,6,20,6,4,3,-,-,-,-,39
210312 Central do Maranhão,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210315 Centro do Guilherme,-,-,-,-,-,-,1,-,-,-,-,-,-,1
210317 Centro Novo do Maranhão,-,-,-,-,-,1,1,-,-,-,-,-,-,2
210320 Chapadinha,-,-,-,-,1,9,5,4,1,-,1,-,-,21
210325 Cidelândia,-,-,-,-,1,1,-,-,-,1,-,-,1,4
210330 Codó,-,-,1,1,1,9,7,3,1,2,-,-,-,25
210340 Coelho Neto,-,-,-,-,-,3,-,-,1,-,-,-,-,4
210350 Colinas,-,-,-,-,-,-,1,2,-,-,-,-,-,3
210355 Conceição do Lago-Açu,-,-,-,-,-,1,1,-,-,-,-,-,-,2
210360 Coroatá,-,-,-,-,4,10,7,2,5,-,-,-,-,28
210370 Cururupu,-,-,-,-,1,2,-,1,-,-,-,-,-,4
210375 Davinópolis,-,-,-,-,1,1,-,-,-,1,-,-,-,3
210380 Dom Pedro,-,-,-,-,-,-,-,1,-,-,-,-,-,1
210390 Duque Bacelar,-,-,-,-,-,2,-,1,1,-,-,-,-,4
210405 Estreito,-,-,-,-,1,6,-,-,-,2,-,-,-,9
210409 Formosa da Serra Negra,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210410 Fortaleza dos Nogueiras,-,-,-,-,1,-,-,-,-,-,-,-,-,1
210420 Fortuna,-,-,-,-,-,2,1,1,-,1,-,-,-,5
210430 Godofredo Viana,-,-,-,-,-,1,1,-,-,-,-,-,-,2
210440 Gonçalves Dias,-,-,-,-,-,1,-,1,-,1,-,-,-,3
210450 Governador Archer,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210455 Governador Edison Lobão,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210460 Governador Eugênio Barros,-,-,-,-,-,-,-,-,1,-,-,-,-,1
210467 Governador Nunes Freire,-,-,-,-,1,3,5,1,-,-,-,-,-,10
210470 Graça Aranha,-,-,-,-,-,-,1,-,-,-,-,-,-,1
210480 Grajaú,-,-,-,1,5,17,6,2,-,-,-,1,-,32
210500 Humberto de Campos,-,-,-,-,-,-,3,-,1,-,-,-,-,4
210510 Icatu,-,-,-,-,-,1,1,-,-,-,-,-,-,2
210515 Igarapé do Meio,-,-,-,-,-,-,2,-,-,-,-,-,-,2
210520 Igarapé Grande,-,-,-,-,-,-,-,1,1,-,-,-,1,3
210530 Imperatriz,-,-,-,2,20,47,42,14,14,4,3,-,1,147
210535 Itaipava do Grajaú,-,-,-,-,-,-,-,1,-,-,-,-,-,1
210540 Itapecuru Mirim,-,-,-,-,1,4,1,1,1,-,1,-,-,9
210542 Itinga do Maranhão,-,-,-,-,2,4,5,1,1,-,1,-,-,14
210545 Jatobá,-,-,-,-,-,-,-,-,-,1,-,-,-,1
210550 João Lisboa,-,-,-,-,-,3,-,1,1,-,-,-,-,5
210560 Joselândia,-,-,-,-,-,1,1,-,-,-,-,-,-,2
210570 Lago da Pedra,-,-,-,1,3,7,3,1,-,-,-,-,-,15
210594 Lago dos Rodrigues,-,-,-,-,-,-,2,-,1,-,-,-,-,3
210590 Lago Verde,-,-,-,-,-,4,-,-,-,-,-,-,-,4
210596 Lagoa Grande do Maranhão,-,-,-,-,1,-,-,1,-,-,-,-,-,2
210598 Lajeado Novo,-,-,-,-,-,1,-,-,2,-,-,-,-,3
210600 Lima Campos,-,-,-,-,-,-,-,1,-,-,-,-,-,1
210632 Maracaçumé,-,-,-,-,1,-,-,-,-,-,-,-,-,1
210635 Marajá do Sena,-,-,-,-,-,-,1,-,-,-,-,-,-,1
210637 Maranhãozinho,-,-,-,-,-,1,-,1,-,-,-,-,-,2
210640 Mata Roma,-,-,-,-,1,1,1,-,-,-,-,-,-,3
210650 Matinha,-,-,-,-,-,3,1,1,-,-,-,-,-,5
210660 Matões,-,-,-,-,1,5,4,-,-,-,1,-,-,11
210663 Matões do Norte,-,-,-,-,1,1,3,-,-,-,-,-,-,5
210675 Miranda do Norte,-,-,-,-,-,2,-,-,-,-,1,-,-,3
210680 Mirinzal,-,-,-,-,1,1,2,-,1,1,-,-,-,6
210690 Monção,-,-,-,1,-,3,5,1,-,-,-,-,-,10
210700 Montes Altos,-,-,-,-,-,1,1,1,1,-,-,-,-,4
210710 Morros,-,-,-,-,-,1,1,-,-,-,-,-,-,2
210735 Nova Olinda do Maranhão,-,-,-,-,1,1,1,-,-,-,-,-,-,3
210740 Olho d'Água das Cunhãs,-,-,-,-,-,-,-,1,1,-,-,-,-,2
210745 Olinda Nova do Maranhão,-,-,-,-,1,1,1,-,-,-,-,-,-,3
210750 Paço do Lumiar,-,-,-,1,6,8,10,7,2,-,1,-,-,35
210760 Palmeirândia,-,-,-,-,1,1,-,-,-,-,-,-,-,2
210770 Paraibano,-,-,-,-,-,2,2,1,1,-,-,-,-,6
210780 Parnarama,-,-,-,-,2,4,1,-,-,-,-,-,-,7
210790 Passagem Franca,-,-,-,-,-,-,2,2,1,-,-,-,-,5
210800 Pastos Bons,-,-,-,-,-,4,1,-,-,-,-,-,-,5
210805 Paulino Neves,-,-,-,-,1,-,-,-,-,-,-,-,-,1
210810 Paulo Ramos,-,-,-,-,1,-,1,-,-,-,-,-,-,2
210820 Pedreiras,-,-,-,-,-,1,3,-,-,-,1,-,-,5
210825 Pedro do Rosário,-,-,-,-,-,-,1,-,-,-,-,-,-,1
210830 Penalva,-,-,-,-,-,4,9,2,1,1,-,-,-,17
210845 Peritoró,-,-,-,-,2,8,1,2,1,-,-,-,-,14
210850 Pindaré-Mirim,-,1,-,-,1,4,5,-,-,-,-,-,-,11
210860 Pinheiro,1,-,-,-,4,15,6,7,-,-,-,-,-,33
210870 Pio XII,-,-,-,-,-,1,4,-,-,-,-,-,-,5
210880 Pirapemas,-,-,-,-,-,1,-,1,-,-,-,-,-,2
210900 Porto Franco,-,-,-,-,-,3,2,1,-,-,-,-,-,6
210910 Presidente Dutra,-,-,-,-,4,6,4,4,3,2,1,-,-,24
210920 Presidente Juscelino,-,-,-,-,-,2,1,-,-,-,-,-,-,3
210927 Presidente Sarney,-,-,-,-,-,-,1,-,1,-,-,-,-,2
210930 Presidente Vargas,-,-,1,-,-,-,-,1,-,-,-,-,-,2
210945 Raposa,-,-,-,-,1,3,1,3,1,-,1,-,-,10
210950 Riachão,-,-,-,-,-,-,3,-,-,-,-,1,-,4
210955 Ribamar Fiquene,-,-,-,-,-,-,1,-,-,-,-,-,-,1
210960 Rosário,-,-,-,1,2,13,3,3,-,-,-,-,-,22
210975 Santa Filomena do Maranhão,-,-,-,-,-,-,2,1,-,-,-,-,-,3
210980 Santa Helena,-,-,-,-,1,1,2,-,-,-,-,-,-,4
210990 Santa Inês,-,-,-,-,16,30,9,10,2,-,1,-,-,68
211000 Santa Luzia,-,-,-,1,6,6,11,3,-,2,-,-,-,29
211003 Santa Luzia do Paruá,-,-,-,-,-,-,3,-,-,-,-,-,-,3
211010 Santa Quitéria do Maranhão,-,-,-,-,-,-,2,-,1,-,-,-,-,3
211020 Santa Rita,-,-,-,-,-,-,4,2,1,1,-,-,-,8
211023 Santana do Maranhão,-,-,-,-,-,-,1,-,-,-,-,-,-,1
211027 Santo Amaro do Maranhão,-,-,-,-,-,-,1,-,1,-,-,-,-,2
211030 Santo Antônio dos Lopes,-,-,-,-,-,2,1,-,-,-,-,-,-,3
211040 São Benedito do Rio Preto,-,-,-,-,-,1,1,-,-,-,-,-,-,2
211050 São Bento,-,-,-,-,-,-,1,-,-,-,-,-,-,1
211060 São Bernardo,-,-,-,-,-,1,-,-,-,1,-,-,-,2
211070 São Domingos do Maranhão,-,-,-,-,2,5,3,6,1,-,1,-,-,18
211085 São Francisco do Brejão,-,-,-,-,-,1,1,-,-,-,-,-,-,2
211090 São Francisco do Maranhão,-,-,-,-,-,1,-,-,-,-,-,-,-,1
211100 São João Batista,-,-,-,-,-,1,1,-,2,-,1,-,-,5
211102 São João do Carú,-,-,-,-,1,1,-,-,-,-,-,-,-,2
211105 São João do Paraíso,-,-,-,-,1,1,2,-,-,-,-,-,-,4
211107 São João do Soter,-,-,-,1,-,-,2,1,-,-,-,-,-,4
211110 São João dos Patos,-,-,-,-,-,-,2,-,-,-,-,-,-,2
211120 São José de Ribamar,-,-,-,-,2,21,21,8,4,2,1,-,1,60
211125 São José dos Basílios,-,-,-,-,-,-,-,-,-,1,-,-,-,1
211130 São Luís,-,-,1,14,131,234,140,60,30,9,4,2,9,634
211140 São Luís Gonzaga do Maranhão,-,-,-,-,-,-,-,1,-,-,-,-,-,1
211150 São Mateus do Maranhão,-,-,-,1,3,5,1,-,-,-,-,-,-,10
211153 São Pedro da Água Branca,-,-,-,-,1,3,4,-,-,-,-,1,-,9
211160 São Raimundo das Mangabeiras,-,-,-,-,-,1,1,-,-,-,-,-,-,2
211163 São Raimundo do Doca Bezerra,-,-,-,-,-,1,2,-,-,-,-,-,-,3
211170 São Vicente Ferrer,-,-,-,-,-,-,1,-,1,-,-,-,-,2
211176 Senador La Rocque,-,-,-,-,-,1,2,-,-,-,-,-,-,3
211200 Tasso Fragoso,-,-,-,-,-,1,2,-,-,-,-,-,-,3
211210 Timbiras,-,-,-,-,-,4,2,-,-,1,-,-,-,7
211220 Timon,-,-,-,-,9,28,23,4,3,4,1,-,-,72
211223 Trizidela do Vale,-,-,-,-,-,-,-,-,-,1,-,-,-,1
211230 Tuntum,-,-,-,-,-,1,5,4,-,1,-,-,-,11
211240 Turiaçu,-,-,-,-,-,4,2,1,-,3,-,-,-,10
211245 Turilândia,-,-,1,1,-,-,8,2,-,1,-,-,-,13
211250 Tutóia,-,-,-,-,1,1,1,1,-,-,-,-,-,4
211260 Urbano Santos,-,-,-,-,-,2,-,-,-,-,-,-,-,2
211270 Vargem Grande,-,-,-,-,2,5,1,3,-,-,-,-,-,11
211280 Viana,-,-,-,-,2,9,11,4,2,-,-,-,-,28
211285 Vila Nova dos Martírios,-,-,-,-,3,3,-,1,-,1,-,-,-,8
211290 Vitória do Mearim,-,-,-,-,-,2,4,1,-,-,-,-,-,7
211300 Vitorino Freire,-,-,-,-,1,5,3,-,1,-,-,-,-,10
211400 Zé Doca,-,-,-,-,4,9,2,3,2,-,-,1,-,21
220010 Agricolândia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220020 Água Branca,-,-,-,-,1,2,3,-,-,-,-,-,-,6
220025 Alagoinha do Piauí,-,-,-,-,-,-,-,1,1,1,-,-,-,3
220027 Alegrete do Piauí,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220030 Alto Longá,-,1,-,-,-,-,-,-,1,-,-,-,-,2
220040 Altos,-,-,-,-,3,2,3,1,-,1,-,-,-,10
220045 Alvorada do Gurguéia,-,-,-,-,-,-,-,-,1,-,-,-,-,1
220050 Amarante,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220070 Anísio de Abreu,-,-,-,-,-,-,-,-,-,-,1,-,-,1
220090 Aroazes,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220115 Baixa Grande do Ribeiro,-,-,-,-,1,2,-,-,-,-,-,-,-,3
220120 Barras,-,-,-,-,-,-,1,1,1,-,-,-,-,3
220130 Barreiras do Piauí,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220150 Batalha,-,-,-,-,-,1,1,-,-,-,1,-,-,3
220160 Beneditinos,-,-,-,-,-,-,2,-,-,-,-,-,-,2
220177 Boa Hora,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220190 Bom Jesus,-,-,-,-,-,1,1,-,-,-,-,-,-,2
220194 Boqueirão do Piauí,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220200 Buriti dos Lopes,-,-,-,-,-,-,1,-,-,2,-,-,-,3
220202 Buriti dos Montes,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220208 Cajueiro da Praia,-,-,-,-,-,2,-,-,-,-,-,-,-,2
220209 Caldeirão Grande do Piauí,-,-,-,-,-,-,2,-,-,1,-,-,-,3
220213 Campo Grande do Piauí,-,-,-,-,1,-,-,1,-,-,-,-,-,2
220217 Campo Largo do Piauí,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220220 Campo Maior,-,-,-,-,-,2,-,2,1,-,-,-,-,5
220250 Caracol,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220260 Castelo do Piauí,-,-,-,-,-,-,1,1,-,-,-,-,-,2
220270 Cocal,-,-,-,1,-,1,1,-,-,-,-,-,-,3
220272 Cocal dos Alves,-,-,-,-,-,-,-,1,-,-,-,-,-,1
220275 Colônia do Gurguéia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220290 Corrente,-,-,-,-,-,3,3,-,-,-,-,-,-,6
220320 Curimatá,-,-,-,-,2,1,-,-,-,-,-,-,-,3
220327 Curral Novo do Piauí,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220330 Demerval Lobão,-,-,-,-,-,-,1,1,1,1,-,-,-,4
220340 Dom Expedito Lopes,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220370 Esperantina,-,-,-,-,-,1,1,-,-,-,-,-,-,2
220390 Floriano,-,-,-,-,1,4,5,5,2,2,-,-,-,19
220420 Francisco Santos,-,-,-,-,1,2,-,-,-,-,-,-,-,3
220430 Fronteiras,-,-,-,-,-,1,1,2,-,-,1,-,-,5
220435 Geminiano,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220450 Guadalupe,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220460 Hugo Napoleão,-,-,-,-,-,-,-,-,-,-,1,-,-,1
220490 Isaías Coelho,-,-,-,-,-,-,-,-,1,-,-,-,-,1
220500 Itainópolis,-,-,-,-,-,-,-,-,1,-,-,-,-,1
220520 Jaicós,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220540 Joaquim Pires,-,-,-,-,1,1,-,-,-,-,-,-,-,2
220545 Joca Marques,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220550 José de Freitas,-,-,-,-,-,3,1,-,-,-,-,-,-,4
220551 Juazeiro do Piauí,-,-,-,-,1,-,1,-,-,-,-,-,-,2
220555 Lagoa Alegre,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220554 Lagoinha do Piauí,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220570 Luís Correia,-,-,-,-,-,-,1,1,-,-,-,-,-,2
220580 Luzilândia,-,-,-,-,-,1,1,-,-,-,-,-,-,2
220585 Madeiro,-,-,-,-,-,1,1,-,-,-,-,-,-,2
220590 Manoel Emídio,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220610 Matias Olímpio,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220620 Miguel Alves,-,-,-,-,-,1,1,-,-,-,-,-,-,2
220650 Monsenhor Hipólito,-,-,-,-,-,1,-,-,1,-,-,-,-,2
220700 Oeiras,-,-,-,-,-,1,-,2,1,-,-,-,-,4
220710 Olho D'Água do Piauí,-,-,-,-,-,-,-,1,-,-,-,-,-,1
220720 Padre Marcos,-,-,-,-,-,1,-,-,1,-,-,-,-,2
220750 Palmeirais,-,-,-,-,-,-,1,-,-,1,-,-,-,2
220755 Paquetá,-,-,-,-,-,-,-,1,-,-,-,-,-,1
220770 Parnaíba,1,-,-,1,5,13,8,5,3,2,1,1,-,40
220777 Patos do Piauí,-,-,-,-,-,2,-,-,-,-,-,-,-,2
220790 Pedro II,-,-,-,-,1,-,1,-,-,-,-,-,-,2
220800 Picos,-,-,-,1,2,8,4,3,2,1,1,1,-,23
220820 Pio IX,-,-,-,-,-,1,2,-,-,1,-,-,-,4
220830 Piracuruca,-,-,-,-,-,-,2,-,-,-,-,-,-,2
220840 Piripiri,-,-,-,-,-,4,5,2,2,1,-,-,-,14
220865 Queimada Nova,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220870 Redenção do Gurguéia,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220890 Ribeiro Gonçalves,-,-,-,-,-,-,-,-,-,1,-,-,-,1
220920 Santa Filomena,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220937 Santa Rosa do Piauí,-,-,-,1,-,-,-,-,-,-,-,-,-,1
220940 Santo Antônio de Lisboa,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220965 São Francisco de Assis do Piauí,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220970 São Francisco do Piauí,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220985 São João da Canabrava,-,-,-,-,-,-,1,-,-,-,-,-,-,1
221000 São João do Piauí,-,-,-,-,-,1,1,-,1,-,-,-,-,3
221020 São José do Piauí,-,-,-,-,-,1,-,-,-,-,-,-,-,1
221040 São Miguel do Tapuio,-,-,-,-,1,1,2,-,1,-,-,-,-,5
221050 São Pedro do Piauí,-,-,-,-,-,-,1,-,-,-,-,-,-,1
221060 São Raimundo Nonato,-,-,-,-,-,2,1,1,-,-,-,-,-,4
221062 Sebastião Barros,-,-,-,-,-,-,-,-,2,-,-,-,-,2
221070 Simões,-,-,-,-,-,-,-,-,1,-,-,-,-,1
221093 Sussuapara,-,-,-,-,-,1,1,-,1,-,-,-,-,3
221100 Teresina,-,1,1,8,69,139,73,36,16,3,5,-,4,355
221110 União,-,-,-,-,1,2,-,1,-,-,-,-,-,4
221120 Uruçuí,-,-,-,-,1,-,-,-,-,-,-,-,-,1
221130 Valença do Piauí,-,-,-,-,-,1,1,-,-,-,-,1,-,3
221135 Várzea Branca,-,-,-,-,-,-,1,-,-,-,-,-,-,1
221150 Vera Mendes,-,-,-,-,-,-,1,-,-,-,-,-,-,1
221160 Vila Nova do Piauí,-,-,-,-,-,1,-,1,-,-,-,-,-,2
220000 Município ignorado - PI,-,-,-,-,-,-,1,-,-,-,-,-,-,1
230010 Abaiara,-,-,-,-,-,-,1,-,-,-,-,-,-,1
230015 Acarape,-,-,-,-,2,5,1,1,1,-,-,-,-,10
230020 Acaraú,-,-,-,-,1,10,3,2,-,1,1,-,-,18
230030 Acopiara,-,-,-,-,1,7,2,7,2,-,1,-,-,20
230040 Aiuaba,-,-,-,-,-,2,3,-,-,-,-,-,-,5
230070 Alto Santo,-,-,-,1,3,1,2,-,-,-,-,-,-,7
230075 Amontada,-,-,-,-,-,7,2,1,1,-,-,-,-,11
230090 Apuiarés,-,-,-,-,1,1,-,1,-,-,-,-,-,3
230100 Aquiraz,1,-,-,5,15,35,21,12,4,-,1,-,-,94
230110 Aracati,-,-,-,-,7,17,6,6,1,-,-,-,-,37
230120 Aracoiaba,-,-,-,-,3,9,1,-,-,-,-,-,-,13
230125 Ararendá,-,-,-,1,-,1,-,1,-,-,-,-,-,3
230130 Araripe,-,-,-,-,1,-,2,-,-,-,-,-,-,3
230140 Aratuba,-,-,-,-,-,2,-,-,-,-,-,-,-,2
230150 Arneiroz,-,-,-,-,-,1,1,-,-,-,-,-,-,2
230160 Assaré,-,-,-,-,-,1,1,-,1,-,-,-,-,3
230170 Aurora,-,-,-,-,-,-,2,1,1,-,1,-,-,5
230185 Banabuiú,-,-,-,-,-,1,2,2,-,-,-,-,-,5
230190 Barbalha,-,-,1,-,1,9,9,1,1,-,1,-,-,23
230195 Barreira,-,-,-,-,2,8,7,1,2,-,-,-,-,20
230200 Barro,-,-,-,-,-,-,2,1,-,-,-,-,-,3
230205 Barroquinha,-,-,-,-,1,-,-,-,-,1,-,-,-,2
230210 Baturité,-,-,-,-,2,1,1,2,-,-,1,-,-,7
230220 Beberibe,-,-,-,-,4,6,6,3,1,-,-,-,-,20
230230 Bela Cruz,-,-,-,-,1,4,4,2,1,-,-,-,-,12
230240 Boa Viagem,-,-,-,-,1,9,5,2,-,-,-,-,-,17
230250 Brejo Santo,-,-,-,-,1,3,2,-,2,1,-,-,-,9
230260 Camocim,-,-,-,-,3,4,2,1,-,-,-,-,-,10
230270 Campos Sales,-,-,-,-,-,6,3,4,-,-,-,-,-,13
230280 Canindé,-,-,-,-,3,19,6,4,1,2,1,-,1,37
230290 Capistrano,-,-,-,-,2,2,2,-,-,-,-,-,-,6
230300 Caridade,-,-,-,-,-,3,2,-,1,2,-,-,-,8
230310 Cariré,-,-,-,-,-,-,1,-,-,-,-,-,-,1
230320 Caririaçu,-,-,-,-,2,5,1,-,-,-,1,-,-,9
230330 Cariús,-,-,-,-,2,1,1,1,1,-,-,-,-,6
230340 Carnaubal,-,-,-,-,-,-,1,-,-,-,-,-,-,1
230350 Cascavel,-,-,-,-,5,17,8,4,2,-,-,-,-,36
230360 Catarina,-,-,-,-,-,2,2,1,-,-,-,-,-,5
230365 Catunda,-,-,-,-,1,1,1,2,-,-,-,-,-,5
230370 Caucaia,-,-,-,7,84,107,65,26,13,3,-,-,1,306
230380 Cedro,-,-,-,1,-,1,1,-,-,-,-,-,-,3
230390 Chaval,-,-,-,-,-,-,1,-,-,-,-,-,-,1
230393 Choró,-,-,-,-,-,1,3,-,-,-,-,-,-,4
230395 Chorozinho,-,-,-,-,2,11,4,3,1,-,1,-,-,22
230400 Coreaú,-,-,-,-,-,4,5,1,-,-,-,-,-,10
230410 Crateús,-,-,-,1,5,13,4,4,1,1,-,-,-,29
230420 Crato,-,-,-,-,7,24,20,5,1,-,-,-,-,57
230423 Croatá,-,-,-,-,2,-,-,-,-,-,-,-,-,2
230425 Cruz,-,-,-,-,2,3,2,1,-,-,-,-,-,8
230426 Deputado Irapuan Pinheiro,-,-,-,-,-,2,1,1,-,-,-,1,-,5
230428 Eusébio,-,-,-,-,20,20,11,5,-,-,-,1,-,57
230430 Farias Brito,-,-,-,-,1,5,2,1,1,-,-,-,-,10
230435 Forquilha,-,-,-,-,1,5,1,-,-,1,-,-,-,8
230440 Fortaleza,1,1,4,45,491,1.009,418,160,74,28,8,9,3,2.251
230445 Fortim,-,-,-,-,2,2,3,1,1,-,-,-,-,9
